date,name,dc,avatar,type,message,image
2025/1/4 下午 8:59:44,玖神,玖神 kyu_kami,https://drive.google.com/open?id=1FcuxkchTGv9_b4BT9pZiWzLEu08eLMcc,text,歌~~生日快樂！！希望熙歌闆闆之後的訂閱數蹭蹭的往上大漲，然後再戰30年XD,
2025/1/4 下午 10:38:00,Levi(兵長身高一米六,Levi(兵長身高一米六,https://drive.google.com/open?id=1HdQn0MLoxC2U-7cfCfNS2iCm_d_lkiYO,text,歌生日快樂 恭喜你又老了一歲 希望你可以長長久久做直播 帶給大家歡笑 只要你有開台 一定持續支持,
2025/1/19 下午 3:03:18,穆凡Ozias,穆凡Ozias ozias_0512,https://drive.google.com/open?id=1Aw394TLUI0gSVOKGiSrZIVhKnYMA-SIb,text,"感謝歌的出現
讓我原本枯燥的讀書生活增添了許多樂趣
讓我想起了對鋼琴的熱愛
祝熙歌闆闆生日快樂！",
2025/1/25 下午 10:44:25,閃現不用錢,sneakmark02,https://drive.google.com/open?id=1xc8KEW_Bf7JoCGk4mJsYR8Td3pNakZYF,text,"歌~非常榮幸可以認識你
在歡笑中渡過一些本該平凡的日子
祝平安喜樂 By.閃現不用錢",
2025/1/27 上午 9:37:24,ruzole,ruzole2002,https://drive.google.com/open?id=1jZCJtQ23N9XhiKnlEjj6XaVvZXPnqKXZ,text,"歌～8歲歲生日快樂！！
謝謝歌的早八台，想到有早八上班都變得開心了，今年也多多指教。(´▽｀)ノ♪",
2025/2/3 下午 8:41:22,暴雨旋風,hh2430,https://drive.google.com/open?id=1Bpa4JxwbzpqknxhN0qwVJowEJfkbDuoN,text,又是一年一度的重要日子，祝歌~生日快樂，心想事成，熙歌發大財，感謝歌帶給婚叫們每一次難忘的精彩時刻。,
2025/2/4 下午 4:36:22,落ちる羽,louyu_owo,https://drive.google.com/open?id=1V-m1KNpvfAlU6vVyEjfkR_5G5HQiwEiC,text,"祝我們最可愛最有氣質的熙歌闆闆生日快樂~
祝歌心想事成 萬事如意",
2025/2/5 下午 12:12:55,Chris Chang,rico2929,https://drive.google.com/open?id=15J0o29e4vudPKbTM7-1vrz17H-QUcHZf,text,雖然早就是婚叫，但近半年才比較常追直播跟參與話題，感謝歌使我人生增添一點點色彩！祝歌八歲歲生日快樂～,
2025/2/17 下午 4:58:09,翁義璿,wenyixuan,https://drive.google.com/open?id=1e7z55gjFp-2Pmnji6xBiC6HhGhp3mBeU,image,,https://drive.google.com/open?id=1pt80gAJXMvsWFJQkot1NeQ3KAnd_1XYN
2025/3/11 下午 9:03:15,Eden,eden_owo,https://drive.google.com/open?id=1WqT4kYv_2feCUo9beIskcHdKvuBCUvUZ,text,歌~八歲歲生日快樂!祝妳今年達成每天睡飽8H，天天爽爽吃8餐，讚啦!,
2025/3/17 下午 7:36:06,元yuan,元yuan  yuan.0721,https://drive.google.com/open?id=1fDBVRAhftF7wGt2M_Apg7ezO6g3cTUJX,text,"祝尊貴的9800X3D+5080使用者 琉燁玥婼女士 
生日快樂！",
2025/3/19 上午 2:37:30,忐宕宕,忐宕宕,https://drive.google.com/open?id=19EPV_M6kLNcGpbclAuZXq91r_ZrBHwlL,text,我喜歡熙歌就像戒不掉的韓式炸雞一樣，難以忘懷！如我曾說過陪伴是最長情的告白，那就祝您生日快樂啦！,
2025/3/19 上午 8:16:20,派大客,賭爛派大客（我是派大客）,https://drive.google.com/open?id=1C1SVBle9ktzajzTFpE378gm7OyWtZJcn,text,這是我第一次參與生日企劃，感謝歌出現在我的生活中，為我這隻小婚叫枯燥的學生生活，帶來許多樂趣生日快樂,
2025/3/22 下午 5:24:34,Suzutsuki_Lin(涼月),suzutsukilin,https://drive.google.com/open?id=14VZlsyGubaS6c9tJF4xoy19HIX5lOr4h,text,"恭喜熙歌生日快樂~ 八歲啦~
感謝有妳的陪伴，未來的日子我們要一起攜手向前進朝著80歲邁進!!",
2025/3/23 上午 2:02:12,froggy_liu,froggy5872,https://drive.google.com/open?id=1yyL0Z2m5bKygswlIDH99hi1QFEP8r5K3,image,,https://drive.google.com/open?id=1SOcXpHN_4ptmPaRQjFX6Jqrl_AdEDSE0
2025/3/26 上午 8:05:54,歐咖吶哋島油,Tauiu,https://drive.google.com/open?id=1tpzPecvNNVTmOGIAe0EECLBFuf4BwvFI,text,"馬上又要過第三次生日了，時間過得真快呀。多餘的我不多說 
歌~生日快樂~ 祝直播生涯長長久久~",
2025/3/29 上午 1:33:04,小進,_xiao_jin,https://drive.google.com/open?id=1ylwk3hu-TSf2UZMHSQJRhvv5IcdXXc93,text,歌~生日快樂！🎉🎂,
2025/3/29 上午 9:16:27,納潔,納潔,https://drive.google.com/open?id=1Ly4XMJ8Hxz8zyZdC9x_qkRQpup8k8bgp,text,歌生日快樂！感謝妳出現在我的人生中，每週熙八台是我繼續走下去的動力！以後我會繼續支持歌！最喜歡妳了！,
2025/3/30 下午 3:03:17,威仔,威仔@wei7777_,https://drive.google.com/open?id=1VG0YqKdrUgAL8QZlnx-BBIsW_dHkLA99,text,歌~生日快樂！這是我們一起慶祝的第三個生日！祝福妳身體健健康康、工商接不完！發大財！,
2025/3/30 下午 11:50:04,小肉桂(｡･ω･｡),cinnamon8855,https://drive.google.com/open?id=1d1ZH6klSW9p4UjC9TN8jLtZM6WvbAnIn,text,"歌 生日快樂
今年文字部分沒花樣了XDD
還是一樣祝尼新的一年一定快樂賺大錢啦
一起朝未來努力吧~",
2025/3/31 上午 7:10:36,青歲,ikiseisai,https://drive.google.com/open?id=1gF9T3ba7Xx4LVvqodKKaPCUhIHmnJ2fj,text,不知不覺已經來到我們一起度過的第三個生日了，很高興能遇見妳這麼熱情又暖心的寶，也感謝妳陪伴大家到現在,
2025/3/31 下午 8:29:55,多喝熱海水,多喝開水,https://drive.google.com/open?id=1Z-3FJIkGTdUqHlvOQc4GxX3KFsbqbx9P,text,歌生日快樂，祝福你心願目標都能順順利利實現，但該休息要休息不要把身體弄壞了，身體健康才是最重要,
2025/3/31 下午 10:07:43,シュ婚叫セン,shouxien,https://drive.google.com/open?id=1OqzHXIn9mMKXFZiF4iKJmyxCOzI5MZF9,text,成為婚叫以來，在雜談間多次價值觀探討讓我對妳喜愛之情有增無減。希望未來能和歌創造更多回憶。生日快樂！,
